,State,Candidate ID,Name,Total Votes,Percentage,National Votes,Abroad Votes
0,Aguascalientes,1,Jorge Álvarez Máynez,56998,0.089398,56934,64
1,Aguascalientes,2,Bertha Xóchitl Gálvez Ruíz,294218,0.461466,293070,1148
2,Aguascalientes,3,Claudia Sheinbaum Pardo,270252,0.423876,269391,861
3,Aguascalientes,4,Candidaturas no registradas,1959,0.0030719999999999996,1953,6
4,Aguascalientes,5,Votos nulos,14145,0.022185,14128,17
5,Baja California,1,Jorge Álvarez Máynez,132459,0.10122,132356,103
6,Baja California,2,Bertha Xóchitl Gálvez Ruíz,290133,0.221708,288804,1329
7,Baja California,3,Claudia Sheinbaum Pardo,855022,0.653375,853216,1806
8,Baja California,4,Candidaturas no registradas,2961,0.002262,2951,10
9,Baja California,5,Votos nulos,29268,0.022365,29251,17
10,Baja California Sur,1,Jorge Álvarez Máynez,26476,0.089288,26470,6
11,Baja California Sur,2,Bertha Xóchitl Gálvez Ruíz,88986,0.30010000000000003,88787,199
12,Baja California Sur,3,Claudia Sheinbaum Pardo,174176,0.587398,174012,164
13,Baja California Sur,4,Candidaturas no registradas,463,0.0015609999999999999,459,4
14,Baja California Sur,5,Votos nulos,6420,0.021650999999999997,6415,5
15,Campeche,1,Jorge Álvarez Máynez,82509,0.210729,82496,13
16,Campeche,2,Bertha Xóchitl Gálvez Ruíz,62003,0.158356,61844,159
17,Campeche,3,Claudia Sheinbaum Pardo,238025,0.60792,237851,174
18,Campeche,4,Candidaturas no registradas,446,0.001139,446,0
19,Campeche,5,Votos nulos,8557,0.021854,8555,2
20,Coahuila,1,Jorge Álvarez Máynez,83499,0.055059,83430,69
21,Coahuila,2,Bertha Xóchitl Gálvez Ruíz,592031,0.390385,590176,1855
22,Coahuila,3,Claudia Sheinbaum Pardo,808040,0.532821,806670,1370
23,Coahuila,4,Candidaturas no registradas,1570,0.001035,1557,13
24,Coahuila,5,Votos nulos,32546,0.02146,32533,13
25,Colima,1,Jorge Álvarez Máynez,45454,0.134213,45427,27
26,Colima,2,Bertha Xóchitl Gálvez Ruíz,102695,0.30323100000000003,102299,396
27,Colima,3,Claudia Sheinbaum Pardo,182722,0.539529,182089,633
28,Colima,4,Candidaturas no registradas,685,0.002022,682,3
29,Colima,5,Votos nulos,7113,0.021002,7098,15
30,Chiapas,1,Jorge Álvarez Máynez,160348,0.075736,160298,50
31,Chiapas,2,Bertha Xóchitl Gálvez Ruíz,353198,0.166824,352755,443
32,Chiapas,3,Claudia Sheinbaum Pardo,1508000,0.712269,1506931,1069
33,Chiapas,4,Candidaturas no registradas,2888,0.001364,2887,1
34,Chiapas,5,Votos nulos,92743,0.043805,92731,12
35,Chihuahua,1,Jorge Álvarez Máynez,134575,0.09614800000000001,134432,143
36,Chihuahua,2,Bertha Xóchitl Gálvez Ruíz,495060,0.35370199999999996,492419,2641
37,Chihuahua,3,Claudia Sheinbaum Pardo,736541,0.526231,734120,2421
38,Chihuahua,4,Candidaturas no registradas,2065,0.001475,2041,24
39,Chihuahua,5,Votos nulos,35015,0.025015999999999997,34984,31
40,Ciudad De México,1,Jorge Álvarez Máynez,453935,0.084141,453008,927
41,Ciudad De México,2,Bertha Xóchitl Gálvez Ruíz,1887340,0.349837,1857603,29737
42,Ciudad De México,3,Claudia Sheinbaum Pardo,2986741,0.553621,2972163,14578
43,Ciudad De México,4,Candidaturas no registradas,9845,0.001824,9671,174
44,Ciudad De México,5,Votos nulos,99584,0.018458000000000002,99227,357
45,Durango,1,Jorge Álvarez Máynez,51470,0.074036,51417,53
46,Durango,2,Bertha Xóchitl Gálvez Ruíz,226858,0.326319,226166,692
47,Durango,3,Claudia Sheinbaum Pardo,402186,0.578516,400528,1658
48,Durango,4,Candidaturas no registradas,740,0.0010639999999999998,733,7
49,Durango,5,Votos nulos,15050,0.021648,15039,11
50,Guanajuato,1,Jorge Álvarez Máynez,277360,0.106216,277160,200
51,Guanajuato,2,Bertha Xóchitl Gálvez Ruíz,1056747,0.404688,1053335,3412
52,Guanajuato,3,Claudia Sheinbaum Pardo,1224110,0.46878100000000006,1218595,5515
53,Guanajuato,4,Candidaturas no registradas,4472,0.001712,4438,34
54,Guanajuato,5,Votos nulos,56387,0.021593,56334,53
55,Guerrero,1,Jorge Álvarez Máynez,95513,0.065622,95459,54
56,Guerrero,2,Bertha Xóchitl Gálvez Ruíz,276794,0.19017099999999998,276169,625
57,Guerrero,3,Claudia Sheinbaum Pardo,1040631,0.714965,1035696,4935
58,Guerrero,4,Candidaturas no registradas,1577,0.001083,1560,17
59,Guerrero,5,Votos nulos,45592,0.031323,45579,13
60,Hidalgo,1,Jorge Álvarez Máynez,155820,0.10460599999999999,155757,63
61,Hidalgo,2,Bertha Xóchitl Gálvez Ruíz,297566,0.19976400000000002,296832,734
62,Hidalgo,3,Claudia Sheinbaum Pardo,1000990,0.671994,998331,2659
63,Hidalgo,4,Candidaturas no registradas,1800,0.001208,1788,12
64,Hidalgo,5,Votos nulos,35408,0.02377,35395,13
65,Jalisco,1,Jorge Álvarez Máynez,629966,0.17465599999999998,629427,539
66,Jalisco,2,Bertha Xóchitl Gálvez Ruíz,1305325,0.361898,1297513,7812
67,Jalisco,3,Claudia Sheinbaum Pardo,1595010,0.44221200000000005,1586787,8223
68,Jalisco,4,Candidaturas no registradas,7862,0.002179,7764,98
69,Jalisco,5,Votos nulos,83154,0.023054,83045,109
70,México,1,Jorge Álvarez Máynez,874799,0.107504,874420,379
71,México,2,Bertha Xóchitl Gálvez Ruíz,2177582,0.26760300000000004,2169683,7899
72,México,3,Claudia Sheinbaum Pardo,4910698,0.603477,4904901,5797
73,México,4,Candidaturas no registradas,11215,0.001378,11172,43
74,México,5,Votos nulos,174272,0.021416,174186,86
75,Michoacán,1,Jorge Álvarez Máynez,230336,0.122063,230157,179
76,Michoacán,2,Bertha Xóchitl Gálvez Ruíz,560620,0.297093,558615,2005
77,Michoacán,3,Claudia Sheinbaum Pardo,1036243,0.549144,1029239,7004
78,Michoacán,4,Candidaturas no registradas,3916,0.002075,3869,47
79,Michoacán,5,Votos nulos,63653,0.033732000000000005,63600,53
80,Morelos,1,Jorge Álvarez Máynez,117500,0.128928,117418,82
81,Morelos,2,Bertha Xóchitl Gálvez Ruíz,196657,0.21578499999999998,195416,1241
82,Morelos,3,Claudia Sheinbaum Pardo,578965,0.635279,577037,1928
83,Morelos,4,Candidaturas no registradas,1060,0.001163,1049,11
84,Morelos,5,Votos nulos,18570,0.020376,18550,20
85,Nayarit,1,Jorge Álvarez Máynez,67640,0.139692,67599,41
86,Nayarit,2,Bertha Xóchitl Gálvez Ruíz,100843,0.208264,100509,334
87,Nayarit,3,Claudia Sheinbaum Pardo,302532,0.624798,301358,1174
88,Nayarit,4,Candidaturas no registradas,606,0.001251,601,5
89,Nayarit,5,Votos nulos,12586,0.025993,12581,5
90,Nuevo León,1,Jorge Álvarez Máynez,431178,0.181643,430840,338
91,Nuevo León,2,Bertha Xóchitl Gálvez Ruíz,841844,0.35464599999999996,835573,6271
92,Nuevo León,3,Claudia Sheinbaum Pardo,1056501,0.445075,1054710,1791
93,Nuevo León,4,Candidaturas no registradas,3715,0.001565,3689,26
94,Nuevo León,5,Votos nulos,46578,0.019622,46522,56
95,Oaxaca,1,Jorge Álvarez Máynez,119134,0.066363,119078,56
96,Oaxaca,2,Bertha Xóchitl Gálvez Ruíz,261516,0.145677,260965,551
97,Oaxaca,3,Claudia Sheinbaum Pardo,1370423,0.763395,1365419,5004
98,Oaxaca,4,Candidaturas no registradas,1871,0.001042,1854,17
99,Oaxaca,5,Votos nulos,46853,0.026099,46837,16
100,Puebla,1,Jorge Álvarez Máynez,322346,0.10157,322147,199
101,Puebla,2,Bertha Xóchitl Gálvez Ruíz,696244,0.21938400000000002,693004,3240
102,Puebla,3,Claudia Sheinbaum Pardo,2067541,0.6514759999999999,2061094,6447
103,Puebla,4,Candidaturas no registradas,4149,0.001307,4116,33
104,Puebla,5,Votos nulos,91739,0.028906,91686,53
105,Querétaro,1,Jorge Álvarez Máynez,109579,0.09577999999999999,109469,110
106,Querétaro,2,Bertha Xóchitl Gálvez Ruíz,427514,0.373681,424487,3027
107,Querétaro,3,Claudia Sheinbaum Pardo,580295,0.507224,579026,1269
108,Querétaro,4,Candidaturas no registradas,2719,0.002376,2708,11
109,Querétaro,5,Votos nulos,26394,0.02307,26364,30
110,Quintana Roo,1,Jorge Álvarez Máynez,57350,0.07773100000000001,57299,51
111,Quintana Roo,2,Bertha Xóchitl Gálvez Ruíz,129121,0.17500800000000002,128073,1048
112,Quintana Roo,3,Claudia Sheinbaum Pardo,533958,0.723717,533396,562
113,Quintana Roo,4,Candidaturas no registradas,1184,0.001604,1180,4
114,Quintana Roo,5,Votos nulos,16186,0.021938,16173,13
115,San Luis Potosí,1,Jorge Álvarez Máynez,138433,0.107906,138336,97
116,San Luis Potosí,2,Bertha Xóchitl Gálvez Ruíz,330360,0.257511,328845,1515
117,San Luis Potosí,3,Claudia Sheinbaum Pardo,773298,0.6027750000000001,771339,1959
118,San Luis Potosí,4,Candidaturas no registradas,2012,0.001568,2000,12
119,San Luis Potosí,5,Votos nulos,41219,0.032129,41182,37
120,Sinaloa,1,Jorge Álvarez Máynez,95400,0.079445,95345,55
121,Sinaloa,2,Bertha Xóchitl Gálvez Ruíz,300151,0.249955,299072,1079
122,Sinaloa,3,Claudia Sheinbaum Pardo,777915,0.647821,776524,1391
123,Sinaloa,4,Candidaturas no registradas,1609,0.001339,1601,8
124,Sinaloa,5,Votos nulos,25741,0.021436,25732,9
125,Sonora,1,Jorge Álvarez Máynez,98260,0.092792,98184,76
126,Sonora,2,Bertha Xóchitl Gálvez Ruíz,268965,0.253999,267812,1153
127,Sonora,3,Claudia Sheinbaum Pardo,667316,0.630186,666207,1109
128,Sonora,4,Candidaturas no registradas,1524,0.001439,1516,8
129,Sonora,5,Votos nulos,22854,0.021582,22842,12
130,Tabasco,1,Jorge Álvarez Máynez,61062,0.06093899999999999,61031,31
131,Tabasco,2,Bertha Xóchitl Gálvez Ruíz,113526,0.113299,113232,294
132,Tabasco,3,Claudia Sheinbaum Pardo,802827,0.8012220000000001,802219,608
133,Tabasco,4,Candidaturas no registradas,1128,0.0011250000000000001,1126,2
134,Tabasco,5,Votos nulos,23460,0.023413,23455,5
135,Tamaulipas,1,Jorge Álvarez Máynez,138101,0.094459,138002,99
136,Tamaulipas,2,Bertha Xóchitl Gálvez Ruíz,387878,0.265303,386234,1644
137,Tamaulipas,3,Claudia Sheinbaum Pardo,905685,0.6194769999999999,903934,1751
138,Tamaulipas,4,Candidaturas no registradas,1794,0.001227,1786,8
139,Tamaulipas,5,Votos nulos,30965,0.021179,30947,18
140,Tlaxcala,1,Jorge Álvarez Máynez,98760,0.14026,98726,34
141,Tlaxcala,2,Bertha Xóchitl Gálvez Ruíz,105282,0.149523,105095,187
142,Tlaxcala,3,Claudia Sheinbaum Pardo,484255,0.6877460000000001,483516,739
143,Tlaxcala,4,Candidaturas no registradas,954,0.001354,951,3
144,Tlaxcala,5,Votos nulos,14867,0.021114,14862,5
145,Veracruz,1,Jorge Álvarez Máynez,280767,0.08098100000000001,280614,153
146,Veracruz,2,Bertha Xóchitl Gálvez Ruíz,808513,0.23319700000000002,806385,2128
147,Veracruz,3,Claudia Sheinbaum Pardo,2294442,0.6617799999999999,2290229,4213
148,Veracruz,4,Candidaturas no registradas,4384,0.0012640000000000001,4359,25
149,Veracruz,5,Votos nulos,83384,0.02405,83345,39
150,Yucatán,1,Jorge Álvarez Máynez,80867,0.06962,80808,59
151,Yucatán,2,Bertha Xóchitl Gálvez Ruíz,363452,0.312906,362367,1085
152,Yucatán,3,Claudia Sheinbaum Pardo,693678,0.597206,693011,667
153,Yucatán,4,Candidaturas no registradas,1111,0.000956,1108,3
154,Yucatán,5,Votos nulos,22429,0.019309,22405,24
155,Zacatecas,1,Jorge Álvarez Máynez,124211,0.169323,124127,84
156,Zacatecas,2,Bertha Xóchitl Gálvez Ruíz,221704,0.302226,221029,675
157,Zacatecas,3,Claudia Sheinbaum Pardo,367584,0.501089,365541,2043
158,Zacatecas,4,Candidaturas no registradas,1405,0.001915,1382,23
159,Zacatecas,5,Votos nulos,20019,0.027288999999999997,19998,21
